88576,"What is the Hausdorff dimension of the subset
$$F := \{ x = \sum^\infty_{n=1} \frac{2 x_n}{3^n} \in [01] : x_n \in \{ 0  1 \}  x_n = 1 \Rightarrow x_{n+1}=0 \}$$
of the Cantor set? Is it known already?

As far as I know this set can be corresponded to a binary tree related to the Fibonacci sequence. (I don't know how to call that tree.)
",Hausdorff dimension of a subset of Cantor set
88581,"It is well known that a rotation $f(z)=e^{i\theta}z$ of the unit circle  is ergodic if and only if $e^{i\theta}$ is not a root of unity. 

Now what happens if we let $\theta$ depend on $z$ (say continuously)?  

To be more explicit: let $\theta:S^1\subset{\mathbb C}\rightarrow [02\pi)$ be continuous and let
$$f:S^1\rightarrow S^1\qquad f(z)=e^{i\theta(z)}z.$$
Does there exist criteria (or some sort of classification) on whether $f$ is ergodic or not?
","Ergodicity of non-homogeneous ""rotations"""
88582,"Suppose $M$ is a model of ZFC and $\mu^M$ is the Lebesgue measure on $\mathbb R^M$ such that $\mu^M(\mathbb R^M)=1$. It is known that if $r$ is a Cohen real over $M$ and $N=M[r]$ then $\mu^N(\mathbb R^M)=0$.

This is a very strong transition from having sets with a full measure being annihilated into nullity. Is it possible that for some[every?] $x\in(01)$ there exists $N=M[G]$ a generic extension of $M$ such that $\mu^N(\mathbb R^M)=x$?

If the answer is negative in its full generality ($M$ is just any model of ZFC) can we add some assumptions for a positive answer? (e.g. $M\models CH$)

This is really just idle curiosity which could not be satisfied via Google references to a possible answer would be just as welcomed as a complete answer
",Can we change the Lebesgue measure by forcing?
88587,"Let's say I have a few sets of values like this:

Height (in inches):

John 72.3
Peter 64.5
Frank 78.5
Susan 65.8
Judy 69.0
Mary 72.7


Weight (in pounds):

John 212
Peter 232
Frank 140
Susan 355
Judy 105
Mary 76


Age (in seconds since birth)

John 662256000
Peter 1292976000
Frank 977616000
Susan 1229904000
Judy 599184000
Mary 283824000


What's the best way to convert these values into a 1-10 scale relative to the other values?

I want to be able to say John is a 6/10 on height 10/10 on height and a 3/10 on age (made up values) for example.

If there's any chance you can give me an example in code or using plain text that would be awesome. I'm pretty unfamiliar with mathmatical notation.
",Convert a value into a relative 1-10 scale in comparison to other items
88588,"Let us define a Zero-insight proof to be one which gives absolutely no insight into the statement of theorem or how it works but nevertheless proves that the theorem is true. 

What are you favourite examples of  Zero-insght proofs?
",zero-insight proofs
88589,"A non-zero complex number can be uniquely written in polar form as $re^{i\theta}$.  There is an analogous result for complex matrices: any invertible complex matrix can be uniquely written as $UP$ where $U$ is a unitary matrix and $P$ is a positive definite Hermitian matrix (see e.g. the description on Wikipedia)

Suppose we consider $n\times n$ invertible matrices over the quaternions.  Is there an analogous polar decomposition?

Or to ask the question a little more colorfully can we complete the following list?


roots of unity: positive reals
unitary matrices: positive definite matrices
compact symplectic matrices: ???


PS: Note that there exists a polar decomposition for quaternions; I'm interested in the result for matrices of quaternions.
",Polar decomposition for quaternionic matrices?
88592,"What systems of wavelets provide a discrete frame for $L^2[0\infty)$? 

Specifically I need a mother wavelet $\psi(x)$ that has a continuous second derivative such that the system of wavelets ${\psi_{jk}(x)=\psi(2^jx-k)|jk\in\mathbb{Z}} k\geq0$ forms a basis (or generally a frame) for $L^2[0\infty)$. Preferably $\psi(x)$ should have compact support and the wavelets $\psi_{jk}(x)$ should be zero for $x&lt;0$.

If the proposed wavelets $\psi_{jk}(x)$ are not orthogonal then I'll also need the reciprocal basis (or frame).

Thanks.
",Is there a wavelet frame for $L^2[0\infty)$?
88595,"There are a fair number of papers by Beauville Laszlo Sorger Kumar and others on the geometry of $LG/L^+G = G((z))/G[[z]]$ where $G$ is a simply connected and simple group over $\mathbb{C}$.  In particular it is known that $Pic(LG/L^+G)$ is equal to $\mathbb{Z}$.  The pull back to $LG$ of a generator $1 \in Pic(LG/L^+G)$ is nontrivial and can be chosen so it corresponds to the basic central extension of $LG$.  So $Pic(LG)$ is at least $\mathbb{Z}$ and I think that should be everything.  

A divisor for the basic line bundle can be taken to be the complement of $L^-G\cdot L^+G$ where $L^-G = G[z^{-1}]$ so I think the claim would follow if $Pic(L^-G \cdot L^+G) = 0$; but I haven't seen this question addressed in my limited knowledge of the literature.  

So is it true that $Pic(LG) = \mathbb{Z}$ and what's a reference that discusses this?
",Is Pic( G((z)) ) = $\mathbb{Z}$?
88598,"While the Poincaré-Birkhoff-Witt theorem is usually proven (and sometimes even formulated) for free modules only it is known (see also here) that it holds for arbitrary modules if the ground ring is a $\mathbb Q$-algebra. I am wondering if a similar generalization holds for the following fact which I learnt today from Pavel Etingof:

Let $\mathfrak c$ be a Lie algebra. Let $\mathfrak a$ and $\mathfrak b$ be two Lie subalgebras of $\mathfrak c$ such that $\mathfrak a + \mathfrak b = \mathfrak c$. Clearly $\mathfrak a \cap \mathfrak b$ is also a Lie subalgebra of $\mathfrak c$. Now the map

$U\left(\mathfrak a\right) \otimes_{U\left(\mathfrak a\cap \mathfrak b\right)} U\left(\mathfrak b\right) \to U\left(\mathfrak c\right)$

$\alpha\otimes_{U\left(\mathfrak a\cap \mathfrak b\right)} \beta\mapsto\alpha\beta$

is an isomorphism (not of algebras but of $\left(U\left(\mathfrak a\right)U\left(\mathfrak b\right)\right)$-bimodules).

This is proven for free modules using PBW and appropriate bases. I had no time to do any research on this.
",$U\left(\mathfrak a\right) \otimes_{U\left(\mathfrak a\cap\mathfrak b\right)} U\left(\mathfrak b\right) \cong U\left(\mathfrak a + \mathfrak b\right)$ over a ring containing $\mathbb{Q}$
88601,"Integral 1/(1+x^5) dx.

I tried splitting up into linear factors so that i could use partial fractions but it can't be split up into real linear factors. Any better way out there?
",indefinite integral
88605,"There is a database with N fixed length strings. There is a query string of the same length. The problem is to fetch first k strings from the database that have the smallest Hamming distance to q.
how can I do this without traverse the whole database?
",how to compute hamming distance quickly?
88607,"Consider a rectangular $(m \times n)$ matrix $\underline E_1$ with $m &lt; n$ that has only $0$ or $1$ entries. It has exactly one $1$ entry in each row and not more than one $1$ entry in each column. Consider it being a selection of $m$ rows out of a $(n \times n)$ permutation matrix $\underline P$.

Given $\underline E_1$ I'm looking for an elegant way to describe the set $\mathcal{P}$ of $((n-m) \times n)$ matrices so that any $\underline E_2 \in \mathcal{P}$ combined with $\underline E_1$ like so

$\underline E = \begin{pmatrix} \underline E_1 \\ \underline E_2 \end{pmatrix}$

forms a valid $(n \times n)$ permutation matrix $\underline E$ i.e. something like $\mathcal{P} = \operatorname{percomp}_n( \underline E_1 )$ (there are $(n-m)!$ elements in $\mathcal{P}$)

Is there anything like this used in mathematical parlance already?
",Complement to part of a permutation matrix
88608,"Let $R$ be a ring. Let $M$ be a left $R$-module. 

Then: $M$ is not finitely generated &lt;=> $M$ is the union of a set of proper submodules closed under binary sums. To recall why: (&lt;=) If $M$ would be f.g. then chosen finitely many generators appear in certain members of the given set of proper submodules. Hence this set being closed under binary sums they all appear in one such submodule. So this submodule is not properly contained in $M$ contradiction. (=>) Pick the set of finitely generated submodules of $M$. 

Strengthening the RHS of this equivalence a bit led me to the question: Can it happen that $M$ is not f.g. but also not the union of an $\mathbb{N}$-indexed chain of proper submodules? I.e. ""does (=>) break down if one wants an $\mathbb{N}$-indexed chain""?

If $R$ is a field and $M$ an infinite-dimensional vector space such a chain exists: pick a basis of $M$ write it as $B\sqcup \{ b_i : i \in \mathbb{N} \}$ and form the chain 
$\langle B\sqcup\{b_1\}\rangle\subset\langle B\sqcup\{b_1b_2\}\rangle\subset\dots$. 

But for general $R$ I suspect a different behaviour.
",Non-finitely-generated module is union of countable chain?
88609,"Let us fix  a torus $\Sigma=S^1 \times S^1$. We consider a cylinder $\Sigma \times I$ and a data $(\Sigma\times I \Sigma\times 0 \Sigma\times 1 f_{0}f_{1})$. Here $f_{i}$ called parametrization is a homeomorphism from $\Sigma$ to $\Sigma \times i$ for $i=0 1$. Two such data are equivalent if there is a homeomorphism $\Sigma \times I$ to itself such that on the boundary it commutes with parametrizations.

Let us consider the composition

$H_1(\Sigma; \mathbb{Z}) \to  H_1(\Sigma \times 0; \mathbb{Z}) \to H_1(\Sigma \times 1; \mathbb{Z}) \to H_1(\Sigma; \mathbb{Z})$.

Here the first and the third ismorphism are induced by the parametrizations $f_{i}$ $i=0 1$ respectively and the second isomorphism (let's say $h$) is obtained by pushing loops in the bottom base of $\Sigma \times I$ to the top base using the cylindrical structure on $\Sigma \times I$.

Note that $h$ might not be the identity and might differ by each data.

The composition $f_{1}^{-1}hf_{0}$ of these gives an element of a mapping class group $M(\Sigma)$ of $\Sigma$.

Question:  If two data induce the same element in $M(\Sigma)$ are these two data equivalent?
 Can you give a concrete homeomorphism  $\Sigma \times I$ to itself that gives an equivalence?
",Mapping class group and cylindrical structure
88611,"I've been musing about the following question for a while now. Given an integral operator $G$ defined by
$$ (Gf)(x) = \int_0^1 G(xu) f(u)\du $$
Is it possible to decompose this into two separate ""one-sided"" integral operators $L$ and $R$ such that
$$ (Gf)(x) = \int_x^1 L(xu) \int_0^x R(uv) f(v)\dv\du $$
If so under what assumptions on $G$? And are there expressions for the left and right operators $L$ and $R$ in terms of $G$?
",Decomposition of an integral operator into a composition
88612,"Hello

I have the following series:

$$
\sum_{n=2}^\infty \frac{t^n}{\Gamma(a n)} = ?\qquad t\ge 0
$$

where the parameter $a\in (01]$ $\Gamma$ is the Gamma function. When $a=1$ the above sum gives $t(e^t-1)$. When $a=1/2$ it gives $e^{t^2}t^2 (1+ Erf(t))$ where $Erf(\cdot)$ is the standard error function. It is not difficult to see that it indeed converges. For general $a\in (01]$ are there some special functions related to this sum?

Thank you very much for any hints and helps! :-)

Anand
",About one series. Are there some related special functions?
